question,answer
Siapa nama saya?,Nama saya adalah Dicky
Siapa presiden pertama Indonesia?,Soekarno
Kapan Indonesia merdeka?,17 Agustus 1945
Apa ibu kota Indonesia saat ini?,Jakarta
Berapa jumlah provinsi di Indonesia per 2023?,38 provinsi
Gunung tertinggi di Indonesia apa?,Puncak Jaya
Siapa proklamator Indonesia?,Soekarno dan Mohammad Hatta
Apa lagu kebangsaan Indonesia?,Indonesia Raya
Pulau terbesar di Indonesia apa?,Kalimantan
Mata uang Indonesia apa?,Rupiah
Agama mayoritas di Indonesia apa?,Islam
Siapa presiden ketujuh Indonesia?,Joko Widodo
Apa semboyan Indonesia?,Bhinneka Tunggal Ika
Dimana letak Candi Borobudur?,Magelang Jawa Tengah
Apa makanan khas Padang?,Rendang
Siapa pahlawan wanita dari Aceh?,Cut Nyak Dien
Apa nama maskapai penerbangan nasional Indonesia?,Garuda Indonesia
Provinsi paling barat Indonesia apa?,Aceh
Provinsi paling timur Indonesia apa?,Papua
Apa tarian tradisional Bali yang terkenal?,Tari Kecak
